ABCI,POINT,A_RYB,A_BYT,A_OYP,B_POT,B_MYB,B_BOG,C_RB,C_OP,C_PG
0.21,0.4475,#CFDDE8,#BCE0DE,#E0D7E7,#BCE0DE,#CFDDE8,#C9DED9,#CFDDE8,#E0D7E7,#BCE6D0
0.22,0.445,#CCDCE9,#B6DFDD,#E0D5E8,#B6DFDD,#CCDCE9,#C4DDD7,#CCDCE9,#E0D5E8,#B6E7CD
0.23,0.4425,#C8DBE9,#B0DEDD,#DFD3E9,#B0DEDD,#C8DBE9,#C0DCD6,#C8DBE9,#DFD3E9,#AFE8CA
0.24,0.44,#C5DAEA,#A9DEDC,#DFD1EA,#A9DEDC,#C5DAEA,#BBDBD4,#C5DAEA,#DFD1EA,#A9E8C6
0.25,0.4375,#C2D9EB,#A3DDDB,#DECFEA,#A3DDDB,#C2D9EB,#B7DAD2,#C2D9EB,#DECFEA,#A2E9C3
0.26,0.435,#BFD8EC,#9CDDDA,#DECDEB,#9CDDDA,#BFD8EC,#B3D9D0,#BFD8EC,#DECDEB,#9CE9C0
0.27,0.4325,#BBD7ED,#96DCD9,#DDCBEC,#96DCD9,#BBD7ED,#AED8CF,#BBD7ED,#DDCBEC,#95EABD
0.28,0.43,#B8D6ED,#8FDCD9,#DDC9ED,#8FDCD9,#B8D6ED,#AAD7CD,#B8D6ED,#DDC9ED,#8FEABA
0.29,0.4275,#B5D5EE,#89DBD8,#DCC7ED,#89DBD8,#B5D5EE,#A5D7CB,#B5D5EE,#DCC7ED,#88EBB7
0.3,0.425,#B1D4EF,#83DAD7,#DCC5EE,#83DAD7,#B1D4EF,#A1D6CA,#B1D4EF,#DCC5EE,#82ECB3
0.31,0.4225,#AED3F0,#7CDAD6,#DBC3EF,#7CDAD6,#AED3F0,#9DD5C8,#AED3F0,#DBC3EF,#7BECB0
0.32,0.42,#ABD2F1,#76D9D5,#DBC1F0,#76D9D5,#ABD2F1,#98D4C6,#ABD2F1,#DBC1F0,#75EDAD
0.33,0.4175,#A7D1F1,#6FD9D5,#DABFF0,#6FD9D5,#A7D1F1,#94D3C5,#A7D1F1,#DABFF0,#6EEDAA
0.34,0.415,#A4D0F2,#69D8D4,#DABDF1,#69D8D4,#A4D0F2,#8FD2C3,#A4D0F2,#DABDF1,#68EEA7
0.35,0.4125,#A1CFF3,#62D8D3,#D9BBF2,#62D8D3,#A1CFF3,#8BD1C1,#A1CFF3,#D9BBF2,#61EEA4
0.36,0.41,#9DCEF4,#5CD7D2,#D9B9F3,#5CD7D2,#9DCEF4,#87D0C0,#9DCEF4,#D9B9F3,#5BEFA0
0.37,0.4075,#9ACDF5,#56D6D1,#D8B7F3,#56D6D1,#9ACDF5,#82D0BE,#9ACDF5,#D8B7F3,#54F09D
0.38,0.405,#97CCF5,#4FD6D1,#D8B5F4,#4FD6D1,#97CCF5,#7ECFBC,#97CCF5,#D8B5F4,#4EF09A
0.39,0.4025,#93CBF6,#49D5D0,#D7B3F5,#49D5D0,#93CBF6,#79CEBB,#93CBF6,#D7B3F5,#47F197
0.4,0.4,#90CAF7,#42D5CF,#D7B1F6,#42D5CF,#90CAF7,#75CDB9,#90CAF7,#D7B1F6,#41F194
0.41,0.3975,#8DC9F8,#3CD4CE,#D6AFF6,#3CD4CE,#8DC9F8,#71CCB7,#8DC9F8,#D6AFF6,#3AF291
0.42,0.395,#8AC8F9,#35D4CD,#D6ADF7,#35D4CD,#8AC8F9,#6CCBB5,#8AC8F9,#D6ADF7,#34F28D
0.43,0.3925,#86C7F9,#2FD3CD,#D5ABF8,#2FD3CD,#86C7F9,#68CAB4,#86C7F9,#D5ABF8,#2DF38A
0.44,0.39,#83C6FA,#29D2CC,#D5A9F9,#29D2CC,#83C6FA,#63C9B2,#83C6FA,#D5A9F9,#27F487
0.45,0.3875,#80C5FB,#22D2CB,#D4A7F9,#22D2CB,#80C5FB,#5FC8B0,#80C5FB,#D4A7F9,#20F484
0.46,0.385,#7CC4FC,#1CD1CA,#D4A5FA,#1CD1CA,#7CC4FC,#5BC8AF,#7CC4FC,#D4A5FA,#1AF581
